hip,magnitude,ra_degrees,dec_degrees,parallax_mas,ra_mas_per_year,dec_mas_per_year,ra_hours,epoch_year
522,5.7,1.5777634,-49.07509405,39.0,575.21,-39.94,0.10518422666666667,1991.25
948,9.92,2.92120675,-39.22963982,29.15,739.96,-127.23,0.19474711666666666,1991.25
2736,8.97,8.73942158,4.38188851,22.17,107.6,-172.75,0.5826281053333333,1991.25
5806,7.5,18.62256714,-5.04704963,25.96,-161.09,-138.65,1.241504476,1991.25
6365,11.48,20.43952009,-46.71418505,42.73,-115.92,-79.79,1.3626346726666665,1991.25
6702,6.34,21.53590855,34.57990693,26.14,235.58,-84.99,1.4357272366666665,1991.25
7599,7.33,24.47330813,-60.51154249,25.39,-14.92,6.17,1.6315538753333334,1991.25
8159,6.27,26.23271918,20.08340568,30.71,-45.05,-105.39,1.7488479453333334,1991.25
8541,7.88,27.52591354,-54.4648479,7.09,110.5,-47.54,1.8350609026666667,1991.25
8770,7.51,28.2105018,-19.50673557,18.58,21.7,-98.22,1.88070012,1991.25
10337,9.84,33.29970594,-21.19658781,43.0,377.79,54.93,2.219980396,1991.25
10626,7.61,34.19708067,43.77344263,21.97,98.65,-183.92,2.279805378,1991.25
10657,6.53,34.2935853,23.76793086,6.79,-31.87,-40.65,2.2862390199999996,1991.25
12191,7.28,39.25808932,42.06273007,16.71,-38.74,-39.91,2.617205954666667,1991.25
12436,9.44,40.01309801,-61.35379692,24.94,37.78,-183.33,2.6675398673333333,1991.25
13467,7.89,43.36320488,-8.8480098,8.32,64.4,-3.95,2.8908803253333333,1991.25
13642,7.52,43.91202372,26.87368205,43.71,262.72,-191.44,2.927468248,1991.25
16038,9.17,51.64036553,-43.61351046,12.63,-0.64,-23.84,3.442691035333333,1991.25
16537,3.72,53.23509009,-9.45830584,310.75,-976.44,17.97,3.549006006,1991.25
17747,7.25,57.00138686,40.53058407,19.24,53.56,21.06,3.8000924573333332,1991.25
18527,8.87,59.43269129,-20.268054,25.9,118.64,107.8,3.9621794193333333,1991.25
19428,6.88,62.41171272,31.65195602,25.08,65.63,70.56,4.160780848,1991.25
20199,8.26,64.93958945,-41.96004151,22.45,-40.44,-92.41,4.329305963333334,1991.25
20277,9.36,65.19515966,-59.41149907,23.6,182.25,272.33,4.346343977333333,1991.25
20606,7.69,66.2115283,-50.62184138,17.8,-66.98,-144.01,4.414101886666667,1991.25
20723,7.8,66.60946903,-10.55067442,25.28,80.85,-60.29,4.4406312686666665,1991.25
21152,6.37,68.01975915,5.41001999,23.13,114.15,6.17,4.53465061,1991.25
21547,5.22,69.40044421,-2.47339212,33.6,43.32,-64.23,4.626696280666667,1991.25
21571,7.76,69.46728677,60.67614221,33.84,60.62,22.06,4.6311524513333335,1991.25
21850,8.41,70.4762512,-58.02072762,18.28,66.12,-12.01,4.698416746666666,1991.25
22336,5.77,72.1508432,-5.67343877,37.73,312.68,-249.28,4.8100562133333336,1991.25
22627,11.94,73.02350646,6.47729317,82.52,146.09,-310.14,4.868233763999999,1991.25
23884,7.6,76.98253929,26.32812489,28.38,-69.17,-66.96,5.132169286000001,1991.25
25486,6.3,81.76980376,-11.90084379,37.26,17.19,-49.3,5.451320250666667,1991.25
26013,9.12,83.26912293,-26.72488551,29.57,15.02,151.99,5.551274862,1991.25
26394,5.65,84.28663598,-80.4716745,54.92,311.97,1050.19,5.619109065333333,1991.25
27253,5.95,86.64566124,1.16853796,23.57,-80.05,-141.79,5.776377416,1991.25
27321,3.85,86.82118054,-51.06671329,51.87,4.65,81.96,5.788078702666667,1991.25
29550,8.98,93.39817431,-29.89730323,18.2,148.18,13.97,6.226544954,1991.25
30114,7.69,95.05950169,-10.72496962,19.83,70.92,-16.2,6.337300112666667,1991.25
33212,6.84,103.67853817,24.24579282,32.23,-37.29,-96.36,6.911902544666666,1991.25
34801,7.95,108.06247239,-38.1744848,13.6,-30.84,-23.37,7.2041648259999995,1991.25
35965,10.18,111.20053973,-51.32839478,18.88,186.42,389.85,7.413369315333333,1991.25
36941,7.32,113.90861163,-75.5442087,18.53,-124.54,-9.66,7.593907442,1991.25
38228,6.9,117.47944668,27.36321021,45.84,-9.29,-11.84,7.8319631119999995,1991.25
39017,6.98,119.76637059,-4.33231464,16.2,28.16,-41.95,7.9844247059999995,1991.25
39417,8.25,120.8696057,-1.16220401,18.17,-68.85,-207.7,8.057973713333332,1991.25
39589,9.11,121.34942499,-74.41060586,12.22,-78.17,79.37,8.089961666,1991.25
40344,5.77,123.55537215,-35.49007215,14.38,-46.16,21.91,8.23702481,1991.25
40952,7.17,125.36787219,-39.70595775,34.77,-202.08,225.6,8.357858146,1991.25
42030,7.46,128.51356616,-1.5679785,19.47,-113.75,-98.3,8.567571077333334,1991.25
42202,8.9,129.07438098,-34.46027752,18.85,-107.11,122.83,8.604958732,1991.25
42214,8.08,129.09640507,-30.03778638,27.38,-180.58,65.71,8.606427004666667,1991.25
42401,9.67,129.6887438,-13.25678613,29.73,-64.24,39.85,8.645916253333333,1991.25
42403,6.89,129.6897941,23.68626609,28.52,-47.09,-148.45,8.645986273333333,1991.25
42723,7.61,130.60461506,4.57858485,15.49,24.96,-200.48,8.706974337333332,1991.25
43297,7.45,132.30256721,3.48461117,33.5,-146.94,59.35,8.820171147333333,1991.25
46022,8.48,140.79071863,33.905612,10.81,71.21,-117.14,9.386047908666665,1991.25
47193,4.28,144.27229969,81.32642085,3.03,-16.77,-15.95,9.618153312666667,1991.25
47780,10.22,146.12593185,-45.7750887,101.87,-466.6,-585.84,9.74172879,1991.25
48780,7.41,149.24102963,-15.89496075,13.78,-13.66,-66.19,9.949401975333334,1991.25
49699,7.56,152.17993726,34.2424063,55.37,-64.48,-60.28,10.145329150666667,1991.25
49813,8.01,152.53201372,18.18751247,13.43,-12.87,-263.91,10.168800914666667,1991.25
50316,6.46,154.117184,28.68270332,31.25,-62.33,-92.18,10.274478933333334,1991.25
50473,7.02,154.58937836,12.62120337,32.38,-272.82,-39.1,10.305958557333334,1991.25
50653,7.64,155.16895329,-53.6641286,17.71,-6.65,15.06,10.344596886,1991.25
52796,8.34,161.9102271,71.65595921,12.45,-57.2,-33.61,10.794015139999999,1991.25
54203,8.39,166.33242834,81.03929294,12.01,-214.0,-45.71,11.088828556000001,1991.25
54597,9.83,167.60829474,-29.41379941,24.76,-8.56,-73.84,11.173886315999999,1991.25
55409,8.0,170.21622932,-23.21691023,23.38,-199.6,-177.54,11.347748621333333,1991.25
55507,9.8,170.52466408,46.90871853,40.36,-197.52,-137.12,11.368310938666667,1991.25
56572,8.42,173.96470625,-4.75577838,18.94,-10.39,33.45,11.597647083333333,1991.25
56640,7.94,174.20069313,-37.03903754,7.87,23.59,-14.96,11.613379541999999,1991.25
58331,6.58,179.43902935,-8.54876585,17.42,-110.25,21.57,11.962601956666667,1991.25
59610,7.41,183.37289681,10.04231745,26.71,23.77,-279.41,12.224859787333333,1991.25
59625,7.58,183.40560099,-9.51327861,11.38,-99.72,-42.05,12.227040066,1991.25
59743,7.34,183.77797345,-7.25719352,27.5,-248.62,-54.83,12.251864896666666,1991.25
60398,11.63,185.75439425,64.02991823,55.5,-667.21,375.52,12.383626283333333,1991.25
60648,10.26,186.46340545,-1.11040161,26.04,-309.98,-78.14,12.430893696666667,1991.25
60689,9.25,186.57482482,-51.3627165,15.76,-72.09,-49.06,12.438321654666668,1991.25
60788,9.38,186.88172932,-71.42325821,19.36,-122.98,115.7,12.458781954666668,1991.25
62039,7.83,190.74772308,-4.04889355,21.51,-219.44,-179.7,12.716514872,1991.25
62452,11.39,191.98842235,9.75251785,121.78,-1007.72,-461.01,12.799228156666667,1991.25
62534,7.59,192.21545908,-68.42542528,34.63,27.82,112.82,12.814363938666666,1991.25
62875,6.11,193.29712947,-3.55308979,30.75,-263.79,-3.45,12.886475297999999,1991.25
63211,6.11,194.28251288,46.17692019,9.48,-9.4,-53.88,12.952167525333333,1991.25
63584,6.01,195.4464669,63.61016308,26.72,-171.55,25.53,13.029764459999999,1991.25
64184,8.2,197.31766344,-60.30830037,12.04,-40.01,-19.19,13.154510896,1991.25
64457,7.56,198.18277753,-2.26506302,48.95,-138.13,9.62,13.212185168666668,1991.25
64797,6.49,199.21111349,17.01781641,89.07,631.21,-260.84,13.280740899333333,1991.25
65042,8.34,199.98601204,38.36899414,11.78,-74.95,21.48,13.332400802666665,1991.25
65808,7.26,202.33858618,-35.57082252,30.29,-204.99,-71.73,13.489239078666666,1991.25
65891,6.75,202.60542365,-58.66433368,7.02,-25.14,-9.05,13.507028243333334,1991.25
66074,10.25,203.17503409,75.00676966,27.88,-438.49,49.85,13.545002272666666,1991.25
66192,8.05,203.51093354,53.72871964,11.29,-87.84,-78.43,13.567395569333334,1991.25
67246,6.33,206.73925975,6.35064241,32.66,-511.29,-109.99,13.782617316666666,1991.25
67285,10.27,206.84852038,-6.13547638,23.52,-338.9,-575.27,13.789901358666667,1991.25
67522,9.79,207.52625866,-40.835746,7.94,-29.33,-22.85,13.835083910666667,1991.25
67537,6.43,207.58080185,-39.90083381,8.89,6.7,-8.89,13.838720123333333,1991.25
69888,8.21,214.53887148,38.96701722,5.94,-13.44,-16.38,14.302591432000002,1991.25
70123,8.31,215.22314214,-17.48136135,18.93,-64.47,-65.64,14.348209476,1991.25
70623,8.81,216.70154033,-5.17742025,14.63,-152.4,-148.17,14.446769355333334,1991.25
70849,10.36,217.32751069,-46.46332289,41.71,-46.68,-202.92,14.488500712666667,1991.25
72203,8.8,221.51410001,-68.76260612,14.79,-198.84,-58.77,14.767606667333332,1991.25
74856,7.72,229.4520104,-45.92231896,18.45,-89.13,-39.72,15.296800693333333,1991.25
74948,6.93,229.73143435,-1.5924433,19.13,-124.05,23.5,15.315428956666667,1991.25
75458,3.29,231.2324337,58.96602354,31.92,-8.27,17.3,15.41549558,1991.25
76311,5.97,233.81757086,53.9221386,8.24,-17.96,2.08,15.587838057333332,1991.25
77358,6.01,236.87253619,-37.9157923,65.6,-416.81,-213.86,15.791502412666667,1991.25
78521,9.2,240.46031775,-44.43424666,16.85,-156.54,-119.66,16.03068785,1991.25
79242,7.7,242.57076306,-84.23153598,27.88,-337.59,-31.15,16.171384204,1991.25
79248,6.61,242.60086331,43.8183699,55.11,132.52,-298.38,16.173390887333333,1991.25
80902,7.01,247.8219592,79.78998852,36.73,95.83,-87.97,16.521463946666668,1991.25
81375,7.09,249.28489217,0.25415627,49.63,91.76,76.37,16.618992811333335,1991.25
83020,7.76,254.47211191,47.36602661,55.71,-146.9,272.21,16.964807460666666,1991.25
83289,6.16,255.32074149,60.6486584,9.24,-45.35,39.36,17.021382766,1991.25
83389,6.76,255.6512414,47.07980407,55.37,123.54,854.67,17.043416093333335,1991.25
84171,8.07,258.0966893,63.35170227,28.27,-2.0,160.96,17.206445953333333,1991.25
84988,7.0,260.56190159,-75.34753364,35.85,-957.24,-253.38,17.370793439333333,1991.25
85647,9.58,262.54769926,-51.63652531,61.98,-259.23,-185.69,17.503179950666667,1991.25
86057,10.13,263.80642798,-48.68197409,102.3,84.41,456.02,17.587095198666667,1991.25
88595,8.42,271.34485371,-21.67286791,18.75,-59.14,-126.62,18.089656914,1991.25
88617,8.96,271.3983275,63.66833723,25.7,-25.01,248.33,18.093221833333335,1991.25
89354,9.33,273.49852847,-42.57518256,23.26,36.35,-78.77,18.23323523133333,1991.25
89583,8.9,274.20627539,-11.40534169,17.75,76.35,-213.66,18.280418359333332,1991.25
89844,6.92,275.01660879,-9.59517776,26.4,-92.15,-224.16,18.334440586000003,1991.25
90485,5.9,276.95618477,-29.81690216,27.53,-0.84,15.16,18.463745651333333,1991.25
91085,8.61,278.68206009,-28.07204666,22.7,-31.99,-109.68,18.578804006,1991.25
92680,8.43,283.27441318,-50.18031899,20.14,16.64,-83.58,18.884960878666668,1991.25
94112,8.25,287.36172453,38.71394634,9.27,28.46,29.29,19.157448302,1991.25
95015,8.59,290.00070908,-9.32282812,20.49,-120.77,-317.8,19.333380605333332,1991.25
95740,7.86,292.10242998,8.35813467,18.93,-17.78,-33.14,19.473495332000002,1991.25
96160,8.67,293.2853574,-54.53217103,16.9,108.58,-84.25,19.55235716,1991.25
96861,9.03,295.32535279,-56.32174782,29.58,-162.2,-53.26,19.68835685266667,1991.25
97233,7.34,296.42189668,-0.69651699,10.4,33.78,-52.59,19.761459778666666,1991.25
98714,7.3,300.75293126,28.3070266,16.1,104.91,-69.85,20.050195417333335,1991.25
98767,5.73,300.90394052,29.89807932,62.92,683.32,-524.06,20.060262701333333,1991.25
99306,8.09,302.36750418,52.2761121,13.61,114.13,89.61,20.157833612,1991.25
99496,8.76,302.87797984,-64.62057872,5.28,1.04,44.5,20.19186532266667,1991.25
99770,4.93,303.63326032,36.8061354,24.37,69.22,68.67,20.242217354666664,1991.25
99825,5.73,303.8190747,-27.03253576,113.33,1241.35,-181.46,20.25460498,1991.25
101806,7.5,309.46640563,-60.63432569,21.31,-190.97,-64.27,20.631093708666665,1991.25
102125,6.51,310.43225974,-75.35041089,22.95,151.42,-161.48,20.695483982666666,1991.25
102409,8.81,311.28891788,-31.34002411,100.59,280.37,-360.09,20.752594525333333,1991.25
103768,9.37,315.41221731,-32.5241821,48.87,244.32,-120.9,21.027481154,1991.25
104513,8.28,317.55156584,10.73886262,4.74,-4.52,4.59,21.170104389333336,1991.25
104903,8.08,318.74080489,-20.78891836,21.58,-38.23,-119.77,21.249386992666665,1991.25
105056,8.23,319.22467822,27.25803456,6.72,47.2,35.77,21.281645214666664,1991.25
106006,7.99,322.05075067,-21.72559552,21.14,41.58,-271.22,21.470050044666667,1991.25
106440,8.66,323.39173448,-49.007018,202.53,-46.18,-818.01,21.559448965333335,1991.25
107089,3.73,325.36863801,-77.38946215,47.22,64.83,-240.38,21.691242534,1991.25
111143,6.81,337.75203507,-49.43279854,24.54,-135.16,-194.06,22.516802337999998,1991.25
111928,8.06,340.08255934,31.78763831,10.26,81.41,-18.58,22.672170622666666,1991.25
112441,8.96,341.65338247,-56.599386,22.97,-54.23,-60.88,22.776892164666666,1991.25
113020,10.16,343.31731628,-14.26205842,212.69,960.33,-675.64,22.887821085333332,1991.25
113103,9.95,343.57236056,-43.01041361,22.4,1.89,26.59,22.904824037333334,1991.25
113137,6.04,343.66482152,-70.07388667,37.71,-43.19,73.2,22.91098810133333,1991.25
113834,7.78,345.78440495,-0.42920986,18.21,-89.15,-169.73,23.052293663333334,1991.25
114189,5.97,346.86936478,21.13437231,25.04,107.88,-50.08,23.12462431866667,1991.25
114699,6.12,348.52491363,-62.69897068,34.25,477.48,-425.01,23.234994242000003,1991.25
115100,8.04,349.69473768,18.64571293,12.33,-2.93,2.64,23.312982512,1991.25
115211,11.03,350.03290961,-60.06486952,38.28,-317.42,-128.94,23.335527307333333,1991.25
115662,7.74,351.47083849,-20.61559573,22.11,-14.7,-178.42,23.431389232666668,1991.25
116132,10.05,352.9659791,19.93741103,160.06,554.4,-62.61,23.531065273333336,1991.25
116250,5.82,353.33143988,-77.38533173,31.49,15.66,1.79,23.555429325333332,1991.25
116454,10.19,353.95592023,0.44596816,18.1,-237.99,-185.91,23.597061348666667,1991.25
116616,7.11,354.50055727,48.99681011,19.82,195.83,-119.06,23.633370484666667,1991.25
116745,7.09,354.90462518,-72.72036398,87.72,141.07,-736.86,23.66030834533333,1991.25
118228,8.06,359.71525864,-61.58672023,12.83,83.05,-21.32,23.981017242666667,1991.25
