pl_name,hostname,radius,hip,absolute_x,absolute_y,absolute_z,true_anomaly,inclination,SE3_string
AU Mic b,AU Mic,3.957,102409,1.728895669806115e+17,-1.9685165957879405e+17,-1.5956724518707283e+17,6.160425433151581,1.5634484906440005,"[[0.9938551965324202, -0.10727271355368617, 0.027283937625156737, 1.728895669806115e+17], [0.10731266347429964, 0.9942253226799506, 0.0, -1.9685165957879405e+17], [-0.027126381689351102, 0.002927912016622227, 0.9996277240791527, -1.5956724518707283e+17], [0.0, 0.0, 0.0, 1.0]]"
AU Mic c,AU Mic,2.522,102409,1.7288954193869738e+17,-1.9685165948756422e+17,-1.5956723788711456e+17,2.764770743271696,1.5573049316769805,"[[0.9984670584210432, -0.04821781201813089, 0.027176752054160907, 1.7288954193869738e+17], [0.048235628143460066, 0.9988359846229039, 0.0, -1.9685165948756422e+17], [-0.027145117896870335, 0.00131088770623152, 0.9996306438619149, -1.5956723788711456e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 3090 b,GJ 3090,2.13,6365,4.6395518211193626e+17,1.7289324075625546e+17,-5.256857833086397e+17,-1.481196210793171,1.5208799101878585,"[[0.9993136989213935, 0.025839765268961784, 0.02654124486318135, 4.6395518211193626e+17], [-0.025848871332369464, 0.9996658621013537, 0.0, 1.7289324075625546e+17], [-0.02653237642739531, -0.0006860612234692868, 0.9996477191096435, -5.256857833086397e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 367 b,GJ 367,0.699,47780,-1.7538099076979152e+17,1.1776360962529378e+17,-2.1708607010896294e+17,4.648643177404816,1.3943435394182695,"[[0.9964153026664947, -0.0810211465350233, 0.024333483642671495, -1.7538099076979152e+17], [0.08104514424955317, 0.9967104316668755, 0.0, 1.1776360962529378e+17], [-0.02425343698544596, 0.0019721106919144537, 0.9997038969483973, -2.1708607010896294e+17], [0.0, 0.0, 0.0, 1.0]]"
GJ 486 b,GJ 486,1.289,62452,-2.4428835194198403e+17,-5.183108981984729e+16,4.2902877622297896e+16,-2.304204483902608,1.5601498183577311,"[[0.9988210404375465, 0.040190211086543165, 0.027226386320558023, -2.4428835194198403e+17], [-0.040205115394919916, 0.9991914474694432, 0.0, -5.183108981984729e+16], [-0.027204372357000618, -0.0010946400038047044, 0.9996292932322081, 4.2902877622297896e+16], [0.0, 0.0, 0.0, 1.0]]"
HD 108236 f,HD 108236,2.017,60689,-1.2144676704244362e+18,-1.3995488052711246e+17,-1.52938875566065e+18,5.759952968141462,1.5526972624517157,"[[0.9945857793449028, -0.10032404823822226, 0.027096362670795744, -1.2144676704244362e+18], [0.10036089813490842, 0.994951099363961, 0.0, -1.3995488052711246e+17], [-0.02695955582807282, 0.0027194152938302667, 0.9996328261566908, -1.52938875566065e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 114082 b,HD 114082,11.209,64184,-1.2119357950285745e+18,-3.778684155866335e+17,-2.2263962436372508e+18,1.790263041258252,1.5707963267948966,"[[0.9991362842248384, -0.03122916068860915, 0.027412133592044294, -1.2119357950285745e+18], [0.031240900492308772, 0.9995118839395706, 0.0, -3.778684155866335e+17], [-0.02739875328938738, 0.0008563797378309305, 0.9996242168594817, -2.2263962436372508e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 118203 b,HD 118203,12.554,66192,-1.4827621696172887e+18,-6.450172708179094e+17,2.203509604577611e+18,2.620257930364536,1.551597705022959,"[[0.9985881977927106, -0.045699426873213406, 0.02707717881475626, -1.4827621696172887e+18], [0.04571618889782878, 0.9989544684682371, 0.0, -6.450172708179094e+17], [-0.02704886877051425, 0.0012378654215156849, 0.9996333459761303, 2.203509604577611e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 183579 b,HD 183579,3.49,96160,4.188350102906175e+17,-9.731270619833266e+17,-1.4870792711735002e+18,1.253391430192848,1.5552628964521469,"[[0.9993924340257397, -0.02186600438728391, 0.02714112496273379, 4.188350102906175e+17], [0.021874062533524044, 0.9997607340700472, 0.0, -9.731270619833266e+17], [-0.027134631016229618, 0.0005936866646650293, 0.9996316118129505, -1.4870792711735002e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 21520 b,HD 21520,2.697,16038,1.0977528898313647e+18,1.3870252796850388e+18,-1.6852805886015478e+18,5.834370510340227,1.5573572915545404,"[[0.9944524407725034, -0.10161553786620081, 0.027177665568871974, 1.0977528898313647e+18], [0.10165308658233664, 0.9948199083192314, 0.0, 1.3870252796850388e+18], [-0.02703688276955595, 0.002762693591178332, 0.9996306190259613, -1.6852805886015478e+18], [0.0, 0.0, 0.0, 1.0]]"
HD 3167 b,HD 3167,1.67,2736,1.3716636627577871e+18,2.1088460892916672e+17,1.0630340912331069e+17,-4.725456036404306,1.455604596163271,"[[0.9962792887122056, 0.08235471441013181, 0.025402360077899352, 1.3716636627577871e+18], [-0.08238129819714911, 0.9966008838584042, 0.0, 2.1088460892916672e+17], [-0.025316014505723936, -0.0020926794004887824, 0.9996773079861685, 1.0630340912331069e+17], [0.0, 0.0, 0.0, 1.0]]"
HD 63433 d,HD 63433,1.073,38228,-2.758572742780514e+17,5.303835236698258e+17,3.0939872094113926e+17,3.066889897400121,1.5486306452945686,"[[0.9982030246355758, -0.05348222761952668, 0.02702541280427392, -2.758572742780514e+17], [0.05350176931055849, 0.9985677546769872, 0.0, 5.303835236698258e+17], [-0.026986705783182508, 0.001445907401376877, 0.9996347468264389, 3.0939872094113926e+17], [0.0, 0.0, 0.0, 1.0]]"
HD 73344 b,HD 73344,2.884,42403,-6.327591405869985e+17,7.624513038637757e+17,4.346260308531885e+17,-3.2402240358642755,1.537320911741645,"[[0.998041966481476, 0.056502093818855854, 0.02682809228911592, -6.327591405869985e+17], [-0.05652243839486623, 0.9984013291046334, 0.0, 7.624513038637757e+17], [-0.026785202998795103, -0.0015163891936633403, 0.999640061954365, 4.346260308531885e+17], [0.0, 0.0, 0.0, 1.0]]"
HD 73583 b,HD 73583,2.84,42401,-6.451594820689107e+17,7.774260135546341e+17,-2.380036604359688e+17,-2.661765005900956,1.561197015908928,"[[0.9985502838734986, 0.046422615864239035, 0.02724465658577237, -6.451594820689107e+17], [-0.0464398545496722, 0.9989210879290743, 0.0, 7.774260135546341e+17], [-0.027215261996913754, -0.0012652378890990377, 0.9996287954473517, -2.380036604359688e+17], [0.0, 0.0, 0.0, 1.0]]"
HD 73583 c,HD 73583,2.73,42401,-6.451594582119625e+17,7.774260136689294e+17,-2.3800364574402554e+17,0.5990758286167626,1.5639895427121189,"[[0.9995728248954862, -0.010451760082823964, 0.02729337724849985, -6.451594582119625e+17], [0.010455655165803063, 0.9999453381435677, 0.0, 7.774260136689294e+17], [-0.027291885341831138, 0.00028537014082048924, 0.9996274663885397, -2.3800364574402554e+17], [0.0, 0.0, 0.0, 1.0]]"
HD 88986 b,HD 88986,2.49,50316,-7.793702512315172e+17,3.7816417029456755e+17,4.7391311942666035e+17,1.2401449108237734,1.5690509975429023,"[[0.9993909037761826, -0.021634806907847928, 0.027381683284361295, -7.793702512315172e+17], [0.02164292189074203, 0.9997657645328886, 0.0, 3.7816417029456755e+17], [-0.027375269522986887, 0.0005926196325604683, 0.9996250514170375, 4.7391311942666035e+17], [0.0, 0.0, 0.0, 1.0]]"
HIP 113103 b,HIP 113103,1.829,113103,9.66191932113939e+17,-2.8487184728673126e+17,-9.39668476979552e+17,3.1008854872487577,1.539903999034597,"[[0.998175214655599, -0.054074708972182035, 0.026873159412741883, 9.66191932113939e+17], [0.0540942450310174, 0.998535834436864, 0.0, -2.8487184728673126e+17], [-0.026833812658157083, 0.0014536832700304512, 0.9996388514374466, -9.39668476979552e+17], [0.0, 0.0, 0.0, 1.0]]"
HIP 116454 b,HIP 116454,2.469,116454,1.6952838273686244e+18,-1.795665581149577e+17,1.3218028397634218e+16,2.54884491396648,1.5517722379481584,"[[0.9986442991351683, -0.04445475542475155, 0.027080223871936468, 1.6952838273686244e+18], [0.044471064587788295, 0.9990106728230829, 0.0, -1.795665581149577e+17], [-0.02705343267050296, 0.001204286384860653, 0.999633263489689, 1.3218028397634218e+16], [0.0, 0.0, 0.0, 1.0]]"
HIP 67522 b,HIP 67522,9.987,67522,-2.6074772474783007e+18,-1.3588650613010511e+18,-2.54123374280039e+18,-4.736360602451982,1.5687019316925033,"[[0.9962116849795214, 0.08254002426779664, 0.027375593219774837, -2.6074772474783007e+18], [-0.08257097036327357, 0.9965851869525593, 0.0, -1.3588650613010511e+18], [-0.02728211068686652, -0.002260429296427061, 0.9996252182172404, -2.54123374280039e+18], [0.0, 0.0, 0.0, 1.0]]"
HIP 67522 c,HIP 67522,7.936,67522,-2.6074772654187397e+18,-1.3588650614433928e+18,-2.541233762449652e+18,3.591076632949334,1.556833692778942,"[[0.9976680875955231, -0.062611963299908, 0.027168530420740036, -2.6074772654187397e+18], [0.06263508395456069, 0.9980364954539513, 0.0, -1.3588650614433928e+18], [-0.02711518488774945, 0.0017017031838250881, 0.9996308673479313, -2.541233762449652e+18], [0.0, 0.0, 0.0, 1.0]]"
KELT-24 b,KELT-24,12.711,52796,-7.414848397296468e+17,2.4223235404387622e+17,2.352539508216166e+18,5.551565403563916,1.5650367402633154,"[[0.9949382524890937, -0.09670546854164633, 0.027311647480313703, -7.414848397296468e+17], [0.09674155629792396, 0.9953095354135092, 0.0, 2.4223235404387622e+17], [-0.02718354316500857, 0.002642171282305821, 0.9996269673792875, 2.352539508216166e+18], [0.0, 0.0, 0.0, 1.0]]"
Kepler-21 b,Kepler-21,1.639,94112,7.750622787604128e+17,-2.478977477677005e+18,2.0819010605596956e+18,-2.669529440988844,1.4521139376592822,"[[0.9985939877057709, 0.04656026541191519, 0.025341456206358814, 7.750622787604128e+17], [-0.046575222870958374, 0.9989147854619636, 0.0, -2.478977477677005e+18], [-0.02531395528966866, -0.001180283970685793, 0.9996788537312076, 2.0819010605596956e+18], [0.0, 0.0, 0.0, 1.0]]"
L 168-9 b,L 168-9,1.63,115211,3.9616281945300576e+17,-6.966180281914731e+16,-6.985607538672995e+17,3.6774948237778142,1.4707889606556217,"[[0.9976121081111176, -0.06411920096275903, 0.02566729081903722, 3.9616281945300576e+17], [0.06414033258418014, 0.9979408888987317, 0.0, -6.966180281914731e+16], [-0.025614439015572258, 0.0016463085696679207, 0.9996705408193296, -6.985607538672995e+17], [0.0, 0.0, 0.0, 1.0]]"
MASCARA-1 b,MASCARA-1,16.814,104513,4.71947183364095e+18,-4.3167981260547277e+18,1.2130257132591007e+18,3.969556353110216,1.5184364492350666,"[[0.9972506664833243, -0.06920210751979099, 0.026498613423814023, 4.71947183364095e+18], [0.06922641636965648, 0.9976009739753741, 0.0, -4.3167981260547277e+18], [-0.02643504256059379, 0.0018344040460955182, 0.999648850090178, 1.2130257132591007e+18], [0.0, 0.0, 0.0, 1.0]]"
Wolf 503 b,Wolf 503,2.043,67285,-1.1638484235696648e+18,-5.890587817276817e+17,-1.403434663505941e+17,-2.570619422917141,1.5685273987673038,"[[0.998619378698954, 0.04483391676688536, 0.027372548187100557, -1.1638484235696648e+18], [-0.044850722260601494, 0.998993700036543, 0.0, -5.890587817276817e+17], [-0.02734500319286015, -0.001227678556304578, 0.9996253016034282, -1.403434663505941e+17], [0.0, 0.0, 0.0, 1.0]]"
