,Star Index,RA (degrees),Dec (degrees),Distance (AU)
331,331,05h 21m 45.75s,"-00deg 22' 56.8""",8.15276e+07 au
332,332,05h 22m 50.00s,"+03deg 32' 40.1""",6.08451e+07 au
333,333,05h 23m 56.81s,"-07deg 48' 30.1""",1.10243e+07 au
334,334,05h 24m 25.90s,"+17deg 23' 00.5""",3.02485e+06 au
335,335,05h 24m 28.62s,"-02deg 23' 49.8""",5.69792e+07 au
336,336,05h 24m 44.83s,"+01deg 50' 47.2""",7.01581e+07 au
337,337,05h 25m 07.85s,"+06deg 20' 58.6""",1.537e+07 au
338,338,05h 26m 17.56s,"+28deg 36' 22.5""",8.28706e+06 au
339,339,05h 26m 50.23s,"+03deg 05' 44.4""",8.96804e+07 au
340,340,05h 27m 38.09s,"+21deg 56' 12.9""",4.39797e+07 au
341,341,05h 28m 14.71s,"-20deg 45' 36.1""",1.00666e+07 au
342,342,05h 29m 43.98s,"-01deg 05' 32.7""",2.88482e+07 au
343,343,05h 30m 47.06s,"+05deg 56' 52.5""",1.82535e+07 au
344,344,05h 31m 12.81s,"-35deg 28' 14.7""",1.75246e+07 au
345,345,05h 31m 55.86s,"-07deg 18' 05.6""",9.77558e+07 au
346,346,05h 32m 00.40s,"-00deg 17' 56.7""",5.79396e+07 au
347,347,05h 32m 12.75s,"+18deg 35' 39.1""",1.21332e+08 au
348,348,05h 32m 43.67s,"+32deg 11' 31.2""",2.57831e+08 au
349,349,05h 32m 43.82s,"-17deg 49' 20.2""",8.12066e+07 au
350,350,05h 33m 37.52s,"-62deg 29' 23.1""",6.56894e+07 au
351,351,05h 34m 49.24s,"+09deg 29' 22.4""",6.23157e+07 au
352,352,05h 35m 02.68s,"-06deg 00' 07.3""",1.17866e+08 au
353,353,05h 35m 08.28s,"+09deg 56' 02.9""",6.67524e+07 au
354,354,05h 35m 15.82s,"-05deg 23' 14.3""",2.06265e+14 au
355,355,05h 35m 22.90s,"-05deg 24' 57.8""",1.19921e+08 au
356,356,05h 35m 23.17s,"-04deg 50' 18.3""",4.97024e+07 au
357,357,05h 35m 25.99s,"-05deg 54' 35.7""",8.38475e+07 au
358,358,05h 36m 12.82s,"-01deg 12' 06.9""",8.48826e+07 au
359,359,05h 36m 54.55s,"+09deg 17' 18.9""",7.34038e+06 au
360,360,05h 37m 38.69s,"+21deg 08' 32.7""",2.63766e+07 au
361,361,05h 38m 44.78s,"-02deg 36' 00.3""",7.26285e+07 au
362,362,05h 38m 53.06s,"-07deg 12' 47.4""",9.71115e+06 au
363,363,05h 39m 11.15s,"+04deg 07' 17.3""",1.02619e+08 au
364,364,05h 39m 38.94s,"-34deg 04' 27.4""",1.69626e+07 au
365,365,05h 40m 45.53s,"-01deg 56' 33.2""",5.16954e+07 au
366,366,05h 40m 50.71s,"-01deg 07' 43.7""",1.32221e+08 au
367,367,05h 41m 17.73s,"+16deg 32' 02.6""",4.73084e+07 au
368,368,05h 42m 28.54s,"+01deg 28' 28.3""",1.90986e+07 au
369,369,05h 44m 27.27s,"-22deg 27' 03.3""",1.85007e+06 au
370,370,05h 44m 46.26s,"-65deg 44' 07.7""",9.17548e+06 au
371,371,05h 46m 57.32s,"-14deg 49' 19.0""",4.43867e+06 au
372,372,05h 47m 17.10s,"-51deg 03' 57.4""",3.97657e+06 au
373,373,05h 47m 45.39s,"-09deg 40' 10.6""",4.56338e+07 au
374,374,05h 49m 00.99s,"+24deg 34' 02.9""",3.30024e+07 au
375,375,05h 49m 10.38s,"+39deg 10' 51.2""",1.34462e+07 au
376,376,05h 49m 32.89s,"+12deg 39' 04.3""",1.71887e+07 au
377,377,05h 49m 49.90s,"-56deg 10' 01.8""",1.09832e+07 au
378,378,05h 50m 57.71s,"-35deg 45' 55.9""",5.43661e+06 au
379,379,05h 51m 02.51s,"+37deg 18' 19.0""",3.00678e+07 au
380,380,05h 51m 19.70s,"-20deg 53' 00.8""",7.10034e+06 au
381,381,05h 51m 29.42s,"+39deg 08' 54.5""",1.35969e+07 au
382,382,05h 52m 26.43s,"+01deg 51' 18.2""",7.03975e+07 au
383,383,05h 53m 06.87s,"-33deg 48' 04.1""",2.15984e+07 au
384,384,05h 53m 19.65s,"+27deg 36' 43.9""",2.76866e+07 au
385,385,05h 54m 06.49s,"-63deg 05' 08.5""",5.62489e+06 au
386,386,05h 54m 22.70s,"+20deg 16' 31.8""",1.78693e+06 au
387,387,05h 54m 50.77s,"+55deg 42' 25.4""",1.52337e+07 au
388,388,05h 55m 10.35s,"+07deg 24' 25.7""",2.70334e+07 au
389,389,05h 55m 29.99s,"-37deg 07' 15.0""",2.07719e+07 au
390,390,05h 56m 24.22s,"-14deg 10' 00.3""",3.10313e+06 au
391,391,05h 57m 32.20s,"-35deg 16' 59.5""",5.3996e+07 au
392,392,05h 57m 59.65s,"+25deg 57' 14.0""",1.33074e+08 au
393,393,05h 59m 08.85s,"-42deg 48' 54.8""",3.35936e+07 au
394,394,05h 59m 31.88s,"+54deg 17' 01.4""",8.88307e+06 au
395,395,05h 59m 31.59s,"+44deg 56' 50.7""",5.19297e+06 au
396,396,05h 59m 43.36s,"+37deg 12' 43.5""",1.09541e+07 au
397,397,05h 59m 56.09s,"+45deg 56' 12.1""",5.3161e+07 au
398,398,06h 00m 03.36s,"-03deg 04' 29.1""",2.65463e+07 au
399,399,06h 01m 50.41s,"-10deg 35' 52.5""",6.19414e+07 au
400,400,06h 02m 23.02s,"+09deg 38' 49.3""",9.59818e+06 au
401,401,06h 03m 55.19s,"+20deg 08' 18.4""",2.06265e+09 au
402,402,06h 04m 07.21s,"+23deg 15' 45.1""",9.53165e+06 au
403,403,06h 04m 59.12s,"-16deg 29' 04.0""",6.76278e+07 au
404,404,06h 06m 09.29s,"-14deg 56' 06.6""",1.07766e+07 au
405,405,06h 07m 31.63s,"-37deg 15' 10.5""",4.81927e+07 au
406,406,06h 07m 34.33s,"+14deg 46' 06.0""",3.38139e+07 au
407,407,06h 10m 17.90s,"-54deg 58' 07.0""",1.04703e+08 au
408,408,06h 11m 56.39s,"+14deg 12' 31.1""",4.01293e+07 au
409,409,06h 12m 03.29s,"+16deg 07' 49.0""",4.8994e+07 au
410,410,06h 14m 51.32s,"-06deg 16' 29.7""",4.07638e+07 au
411,411,06h 14m 52.55s,"+22deg 30' 24.2""",2.2084e+07 au
412,412,06h 15m 22.55s,"+29deg 29' 46.6""",1.06818e+07 au
413,413,06h 15m 44.91s,"-13deg 43' 06.6""",2.37086e+07 au
414,414,06h 16m 33.14s,"-35deg 08' 23.7""",1.15684e+07 au
415,415,06h 18m 50.77s,"+69deg 19' 08.7""",1.11194e+07 au
416,416,06h 19m 37.38s,"+59deg 00' 40.1""",9.42709e+06 au
417,417,06h 19m 59.59s,"-02deg 56' 40.2""",3.20287e+07 au
418,418,06h 20m 18.81s,"-30deg 03' 48.0""",2.12644e+07 au
419,419,06h 22m 06.78s,"-33deg 26' 12.3""",1.50011e+07 au
420,420,06h 22m 41.98s,"-17deg 57' 21.3""",3.15873e+07 au
421,421,06h 22m 57.73s,"+22deg 30' 46.2""",1.46599e+07 au
422,422,06h 23m 46.05s,"+04deg 35' 34.6""",8.12386e+06 au
423,423,06h 23m 57.16s,"-52deg 41' 43.8""",1.97761e+07 au
424,424,06h 24m 53.90s,"+49deg 17' 16.4""",2.42664e+08 au
425,425,06h 28m 10.18s,"-32deg 34' 47.7""",2.56868e+07 au
426,426,06h 28m 49.06s,"-07deg 01' 59.1""",4.37002e+07 au
427,427,06h 28m 57.78s,"+20deg 12' 43.3""",3.17819e+07 au
428,428,06h 31m 51.36s,"-23deg 25' 06.2""",1.29726e+08 au
429,429,06h 32m 54.22s,"+07deg 19' 58.5""",9.5493e+07 au
430,430,06h 34m 58.56s,"-52deg 58' 31.9""",1.11494e+08 au
431,431,06h 35m 03.41s,"-22deg 57' 52.8""",2.60435e+07 au
432,432,06h 36m 41.15s,"-19deg 15' 22.9""",4.09174e+06 au
433,433,06h 37m 42.70s,"+16deg 23' 55.7""",6.62805e+06 au
434,434,06h 37m 45.67s,"-43deg 11' 45.5""",2.67529e+07 au
435,435,06h 37m 53.41s,"-18deg 14' 15.1""",2.93407e+07 au
436,436,06h 39m 16.73s,"-14deg 08' 44.9""",9.96448e+07 au
437,437,06h 39m 19.82s,"+42deg 29' 18.6""",2.73561e+07 au
438,438,06h 40m 58.66s,"+09deg 53' 44.7""",6.46598e+07 au
439,439,06h 43m 55.92s,"+25deg 07' 51.7""",5.71371e+07 au
440,440,06h 43m 59.29s,"+13deg 13' 39.6""",1.74505e+07 au
441,441,06h 45m 07.98s,"-16deg 43' 28.3""",5.43933e+05 au
442,442,06h 45m 17.17s,"+12deg 53' 39.4""",3.61741e+06 au
443,443,06h 46m 14.07s,"+59deg 26' 29.8""",1.44646e+07 au
444,444,06h 47m 19.79s,"+08deg 02' 13.8""",3.06486e+07 au
445,445,06h 47m 51.63s,"+02deg 24' 43.5""",2.36001e+07 au
446,446,06h 48m 11.21s,"-61deg 56' 23.0""",6.25803e+06 au
447,447,06h 49m 50.44s,"-32deg 30' 30.4""",4.99431e+07 au
448,448,06h 49m 51.31s,"-53deg 37' 20.4""",3.49601e+07 au
449,449,06h 49m 56.26s,"-50deg 36' 54.0""",1.15555e+07 au
450,450,06h 50m 45.89s,"+41deg 46' 49.0""",2.30463e+07 au
451,451,06h 50m 52.36s,"-34deg 22' 02.3""",5.72958e+07 au
452,452,06h 52m 47.33s,"+33deg 57' 39.3""",1.24331e+07 au
453,453,06h 53m 32.90s,"-20deg 13' 27.2""",1.02111e+08 au
454,454,06h 54m 07.95s,"-24deg 11' 03.0""",1.25009e+08 au
455,455,06h 54m 11.16s,"-12deg 02' 19.4""",1.59401e+07 au
456,456,06h 54m 38.75s,"+13deg 10' 38.3""",5.7632e+06 au
457,457,06h 55m 37.52s,"-20deg 08' 10.4""",6.02937e+06 au
458,458,06h 56m 06.64s,"-14deg 02' 36.2""",5.74554e+07 au
459,459,06h 56m 08.22s,"-17deg 03' 15.2""",1.94589e+08 au
460,460,06h 56m 15.99s,"-48deg 43' 15.9""",6.71872e+07 au
461,461,06h 57m 16.63s,"+58deg 25' 18.9""",1.07766e+07 au
462,462,06h 57m 37.06s,"+45deg 05' 38.7""",1.4235e+07 au
463,463,06h 58m 37.55s,"-28deg 58' 19.4""",2.72477e+07 au
464,464,07h 00m 04.57s,"+76deg 58' 38.3""",1.18339e+07 au
465,465,07h 01m 43.14s,"-27deg 56' 05.3""",7.69645e+07 au
466,466,07h 02m 54.77s,"-04deg 14' 21.2""",7.06386e+07 au
467,467,07h 03m 01.47s,"-23deg 49' 59.7""",1.62413e+08 au
468,468,07h 03m 45.49s,"-15deg 38' 00.1""",2.54334e+07 au
469,469,07h 03m 53.47s,"-49deg 34' 58.7""",1.21475e+07 au
470,470,07h 04m 06.52s,"+20deg 34' 13.0""",7.393e+07 au
471,471,07h 08m 23.48s,"-26deg 23' 35.4""",1.13332e+08 au
472,472,07h 08m 44.98s,"-70deg 29' 53.5""",8.96024e+06 au
473,473,07h 08m 51.04s,"-39deg 39' 20.2""",4.75265e+07 au
474,474,07h 10m 13.68s,"-04deg 14' 08.2""",1.33505e+07 au
475,475,07h 11m 08.31s,"+30deg 14' 41.4""",1.90809e+07 au
476,476,07h 11m 39.42s,"+39deg 19' 14.0""",2.93825e+07 au
477,477,07h 11m 51.86s,"-00deg 29' 33.8""",2.37086e+07 au
478,478,07h 12m 33.30s,"-46deg 45' 30.9""",4.36817e+06 au
479,479,07h 13m 13.29s,"-45deg 11' 00.0""",1.14783e+07 au
480,480,07h 13m 32.57s,"-44deg 38' 15.0""",1.25313e+07 au
481,481,07h 14m 15.20s,"-26deg 21' 08.9""",9.96448e+07 au
482,482,07h 14m 38.13s,"-48deg 16' 18.9""",2.24201e+07 au
483,483,07h 14m 48.63s,"-26deg 46' 21.4""",5.8432e+07 au
484,484,07h 16m 34.97s,"-27deg 52' 51.3""",2.86479e+07 au
485,485,07h 16m 36.82s,"-23deg 18' 56.1""",3.96663e+08 au
486,486,07h 16m 49.81s,"-67deg 57' 25.5""",4.1754e+07 au
487,487,07h 17m 08.53s,"-37deg 05' 50.7""",6.92164e+07 au
488,488,07h 18m 05.50s,"+16deg 32' 24.4""",5.96313e+06 au
489,489,07h 18m 18.37s,"-36deg 44' 02.2""",5.35753e+07 au
490,490,07h 18m 31.97s,"+49deg 27' 53.2""",1.88026e+07 au
491,491,07h 18m 40.37s,"-24deg 33' 31.3""",1.89234e+08 au
492,492,07h 18m 42.48s,"-24deg 57' 15.7""",2.0222e+08 au
493,493,07h 20m 07.34s,"+21deg 58' 56.2""",3.71983e+06 au
494,494,07h 22m 13.53s,"-19deg 00' 59.9""",3.26886e+07 au
495,495,07h 24m 05.70s,"-29deg 18' 11.0""",2.0222e+08 au
496,496,07h 25m 38.89s,"+09deg 16' 33.7""",6.25045e+07 au
497,497,07h 25m 43.37s,"+27deg 47' 51.0""",7.96389e+06 au
498,498,07h 26m 42.82s,"+49deg 12' 40.3""",1.57334e+07 au
499,499,07h 27m 08.96s,"+08deg 17' 20.6""",1.07654e+07 au
500,500,07h 28m 09.70s,"+08deg 55' 32.2""",2.51542e+07 au
501,501,07h 29m 07.03s,"+31deg 47' 09.2""",3.81548e+06 au
502,502,07h 29m 13.69s,"-43deg 18' 00.5""",1.16271e+07 au
503,503,07h 29m 47.78s,"+12deg 00' 23.2""",3.54407e+07 au
504,504,07h 29m 51.41s,"-23deg 01' 27.3""",2.04223e+08 au
505,505,07h 30m 42.58s,"-30deg 57' 44.2""",1.10895e+08 au
506,506,07h 31m 04.42s,"+82deg 24' 40.2""",2.99368e+07 au
507,507,07h 33m 47.95s,"-14deg 31' 25.9""",2.12644e+08 au
508,508,07h 34m 03.11s,"-22deg 17' 44.7""",5.30107e+06 au
509,509,07h 34m 35.46s,"+31deg 53' 14.1""",3.26007e+06 au
510,510,07h 35m 22.77s,"-28deg 22' 10.0""",1.42252e+07 au
511,511,07h 35m 39.79s,"-52deg 32' 02.1""",2.49112e+07 au
512,512,07h 35m 55.27s,"+26deg 53' 42.0""",1.52001e+07 au
513,513,07h 37m 22.08s,"-34deg 58' 06.3""",2.26665e+07 au
514,514,07h 38m 18.04s,"-25deg 21' 53.5""",3.4842e+07 au
515,515,07h 38m 49.84s,"-26deg 48' 13.2""",2.87277e+07 au
516,516,07h 39m 09.86s,"+34deg 35' 00.7""",1.00031e+07 au
517,517,07h 39m 16.93s,"+05deg 13' 04.4""",7.21382e+05 au
518,518,07h 39m 27.29s,"-38deg 18' 28.5""",3.63142e+07 au
519,519,07h 40m 23.21s,"-15deg 15' 50.8""",4.27935e+07 au
520,520,07h 41m 14.71s,"-09deg 33' 04.6""",9.12272e+06 au
521,521,07h 41m 49.45s,"-72deg 36' 21.6""",8.46736e+06 au
522,522,07h 43m 00.30s,"+58deg 42' 36.0""",1.50011e+07 au
523,523,07h 43m 18.84s,"+28deg 52' 54.9""",7.73106e+06 au
524,524,07h 43m 32.36s,"-28deg 24' 38.4""",6.17559e+07 au
525,525,07h 43m 48.46s,"-28deg 57' 17.3""",2.06265e+14 au
526,526,07h 44m 26.81s,"+24deg 23' 51.4""",9.07456e+06 au
527,527,07h 45m 15.27s,"-37deg 58' 06.8""",8.77723e+07 au
528,528,07h 45m 17.78s,"+28deg 01' 33.2""",2.13216e+06 au
529,529,07h 46m 07.32s,"+18deg 30' 34.9""",2.15984e+07 au
530,530,07h 48m 05.15s,"-25deg 56' 13.7""",1.56261e+08 au
531,531,07h 48m 19.92s,"-47deg 04' 41.7""",1.43638e+07 au
532,532,07h 49m 14.28s,"-46deg 22' 23.3""",1.24256e+08 au
533,533,07h 49m 17.65s,"-24deg 51' 35.2""",8.52334e+07 au
534,534,07h 52m 13.00s,"-40deg 34' 32.7""",2.18039e+07 au
535,535,07h 52m 38.63s,"-38deg 51' 46.0""",4.05235e+07 au
536,536,07h 53m 03.61s,"-49deg 36' 46.6""",4.55331e+07 au
537,537,07h 53m 18.15s,"-48deg 06' 10.4""",1.22777e+08 au
538,538,07h 53m 29.75s,"+26deg 45' 56.0""",1.60893e+07 au
539,539,07h 56m 46.64s,"-52deg 58' 56.1""",2.44679e+07 au
540,540,07h 56m 51.49s,"-22deg 52' 48.1""",3.17819e+07 au
541,541,07h 57m 40.09s,"-30deg 20' 04.3""",9.12676e+07 au
542,542,07h 58m 14.42s,"-49deg 14' 41.5""",7.3666e+07 au
543,543,07h 59m 44.06s,"-03deg 40' 46.5""",1.57936e+07 au
544,544,07h 59m 52.04s,"-18deg 23' 58.1""",1.50668e+07 au
545,545,08h 00m 19.96s,"-63deg 34' 02.4""",3.42633e+07 au
546,546,08h 01m 13.44s,"-01deg 23' 35.3""",2.98935e+07 au
547,547,08h 02m 15.89s,"+02deg 20' 07.1""",1.65144e+07 au
548,548,08h 03m 31.03s,"+27deg 47' 38.7""",1.62926e+07 au
549,549,08h 03m 34.98s,"-40deg 00' 10.9""",8.85257e+07 au
550,550,08h 07m 32.50s,"-24deg 18' 14.4""",3.96739e+06 au
551,551,08h 07m 55.66s,"-68deg 37' 00.7""",4.06033e+07 au
552,552,08h 08m 27.29s,"+51deg 30' 24.0""",1.37878e+07 au
553,553,08h 08m 35.62s,"-02deg 59' 01.7""",1.17196e+08 au
554,554,08h 09m 00.14s,"-61deg 18' 16.1""",4.41208e+06 au
555,555,08h 09m 01.62s,"-19deg 14' 42.2""",2.98935e+07 au
556,556,08h 09m 31.94s,"-47deg 20' 11.5""",5.3161e+07 au
557,557,08h 11m 16.26s,"-12deg 55' 37.0""",1.1693e+07 au
558,558,08h 11m 21.47s,"-39deg 37' 06.7""",1.18543e+08 au
559,559,08h 11m 25.88s,"-42deg 59' 14.1""",2.94664e+08 au
560,560,08h 12m 12.78s,"+17deg 38' 48.2""",5.27397e+06 au
561,561,08h 13m 19.95s,"-15deg 47' 17.7""",7.78358e+07 au
562,562,08h 13m 29.50s,"-35deg 53' 58.0""",6.19414e+07 au
563,563,08h 14m 03.02s,"-40deg 20' 54.0""",1.96443e+07 au
564,564,08h 16m 30.84s,"+09deg 11' 06.8""",1.83673e+07 au
565,565,08h 18m 32.35s,"-76deg 55' 08.4""",4.01293e+06 au
566,566,08h 18m 33.08s,"-36deg 39' 30.9""",5.88319e+06 au
567,567,08h 20m 37.56s,"-77deg 29' 03.1""",9.7203e+06 au
568,568,08h 21m 23.00s,"-33deg 03' 15.7""",5.30244e+07 au
569,569,08h 22m 30.75s,"-59deg 30' 33.6""",3.99738e+07 au
570,570,08h 22m 31.68s,"-48deg 29' 25.2""",9.5493e+07 au
571,571,08h 22m 50.05s,"+43deg 11' 14.8""",2.45846e+07 au
572,572,08h 25m 39.52s,"-03deg 54' 23.7""",7.9059e+06 au
573,573,08h 25m 44.05s,"-66deg 08' 16.6""",6.8277e+06 au
574,574,08h 30m 15.42s,"+60deg 43' 02.7""",1.1614e+07 au
575,575,08h 35m 19.88s,"-58deg 00' 32.5""",1.45155e+07 au
576,576,08h 37m 38.61s,"-42deg 59' 20.5""",9.08656e+07 au
577,577,08h 37m 39.25s,"+05deg 42' 13.4""",1.1327e+07 au
578,578,08h 38m 45.41s,"+03deg 20' 28.8""",2.22989e+07 au
579,579,08h 39m 42.43s,"-29deg 33' 42.2""",1.49143e+07 au
580,580,08h 40m 01.34s,"-12deg 28' 31.3""",2.65122e+07 au
581,581,08h 40m 06.16s,"-35deg 18' 30.6""",2.45553e+07 au
582,582,08h 40m 12.59s,"+64deg 19' 41.2""",1.59648e+07 au
583,583,08h 40m 17.52s,"-52deg 55' 17.9""",3.12997e+07 au
584,584,08h 40m 37.00s,"-59deg 45' 39.5""",8.92921e+07 au
585,585,08h 40m 37.55s,"-46deg 38' 55.4""",1.96443e+08 au
586,586,08h 41m 13.11s,"-47deg 19' 01.5""",1.19921e+08 au
587,587,08h 41m 43.34s,"-15deg 56' 38.6""",1.29077e+07 au
588,588,08h 42m 25.32s,"-53deg 06' 49.8""",3.03331e+07 au
589,589,08h 43m 13.44s,"+03deg 23' 55.2""",2.95086e+07 au
590,590,08h 43m 16.96s,"+21deg 28' 05.6""",1.00226e+07 au
591,591,08h 43m 35.51s,"-33deg 11' 10.7""",5.34365e+07 au
592,592,08h 43m 40.35s,"-07deg 14' 01.5""",3.81972e+07 au
593,593,08h 44m 23.89s,"-42deg 38' 56.9""",1.44544e+07 au
594,594,08h 44m 41.07s,"+18deg 09' 09.9""",8.60512e+06 au
595,595,08h 44m 42.31s,"-54deg 42' 34.3""",5.04315e+06 au
596,596,08h 46m 01.62s,"-46deg 02' 29.4""",9.82213e+07 au
597,597,08h 46m 22.57s,"-13deg 32' 51.9""",1.43439e+07 au
598,598,08h 46m 41.78s,"+28deg 45' 34.5""",1.88542e+07 au
599,599,08h 46m 42.52s,"-56deg 46' 11.0""",3.45502e+07 au
600,600,08h 46m 46.13s,"+06deg 25' 06.7""",8.54806e+06 au
601,601,08h 48m 25.94s,"+05deg 50' 15.4""",2.13304e+07 au
602,602,08h 49m 47.61s,"-45deg 18' 28.0""",5.23515e+07 au
603,603,08h 50m 31.67s,"-27deg 42' 33.3""",1.31967e+07 au
604,604,08h 55m 02.73s,"-60deg 38' 39.5""",1.97383e+07 au
605,605,08h 55m 23.46s,"+05deg 56' 44.4""",9.53165e+06 au
606,606,08h 55m 31.72s,"-27deg 40' 57.2""",1.43239e+07 au
607,607,08h 56m 19.22s,"-52deg 43' 24.1""",2.37632e+07 au
608,608,08h 56m 58.39s,"-59deg 13' 45.4""",3.92885e+07 au
609,609,08h 58m 29.29s,"+11deg 51' 27.0""",1.09774e+07 au
610,610,08h 59m 11.36s,"+48deg 02' 25.2""",3.0191e+06 au
611,611,09h 00m 05.32s,"-41deg 15' 11.6""",1.27403e+07 au
612,612,09h 00m 37.29s,"+41deg 46' 53.0""",3.38917e+06 au
613,613,09h 02m 26.79s,"-66deg 23' 48.2""",7.8607e+06 au
614,614,09h 02m 32.60s,"+67deg 37' 47.1""",1.81731e+07 au
615,615,09h 03m 37.44s,"+47deg 09' 22.1""",2.67529e+07 au
616,616,09h 04m 09.17s,"-47deg 05' 52.1""",1.95512e+07 au
617,617,09h 05m 08.77s,"-72deg 36' 09.9""",2.87277e+07 au
618,618,09h 05m 38.35s,"-70deg 32' 18.3""",6.82996e+07 au
619,619,09h 05m 58.34s,"+05deg 05' 32.1""",7.66784e+07 au
620,620,09h 06m 31.71s,"+38deg 27' 07.6""",4.28825e+07 au
621,621,09h 07m 59.71s,"-43deg 25' 57.0""",3.62504e+07 au
622,622,09h 08m 02.95s,"-25deg 51' 30.7""",3.08318e+07 au
623,623,09h 08m 51.89s,"+51deg 36' 15.9""",6.04528e+06 au
624,624,09h 10m 23.60s,"+67deg 08' 00.2""",4.22068e+06 au
625,625,09h 10m 55.43s,"+63deg 30' 47.6""",7.69932e+06 au
626,626,09h 10m 58.03s,"-58deg 58' 00.5""",2.64782e+07 au
627,627,09h 11m 04.39s,"-44deg 52' 04.3""",2.06265e+14 au
628,628,09h 11m 16.58s,"-62deg 19' 00.7""",3.15873e+07 au
629,629,09h 13m 11.22s,"-69deg 42' 59.3""",7.03016e+06 au
630,630,09h 14m 22.04s,"+02deg 18' 43.8""",8.13989e+06 au
631,631,09h 15m 36.56s,"-38deg 34' 12.0""",1.4235e+07 au
632,632,09h 15m 45.11s,"-37deg 24' 47.5""",1.04756e+07 au
633,633,09h 16m 11.47s,"+54deg 01' 20.2""",7.48693e+06 au
634,634,09h 16m 11.99s,"-57deg 32' 29.7""",3.39251e+07 au
635,635,09h 17m 05.35s,"-59deg 16' 30.5""",4.3793e+07 au
636,636,09h 18m 50.58s,"+36deg 48' 06.3""",7.71083e+06 au
637,637,09h 19m 46.34s,"-11deg 58' 29.2""",2.0222e+07 au
638,638,09h 20m 29.00s,"-09deg 33' 21.2""",1.54044e+07 au
639,639,09h 20m 56.76s,"-62deg 24' 16.7""",1.40795e+07 au
640,640,09h 21m 02.86s,"+34deg 23' 33.6""",1.40412e+07 au
641,641,09h 21m 29.57s,"-25deg 57' 55.8""",3.30024e+07 au
642,642,09h 22m 06.79s,"-55deg 00' 38.1""",3.40934e+07 au
643,643,09h 23m 12.01s,"-28deg 50' 01.4""",1.15103e+07 au
644,644,09h 24m 39.20s,"+26deg 10' 55.2""",1.3499e+07 au
645,645,09h 27m 18.71s,"-22deg 20' 41.3""",1.11314e+07 au
646,646,09h 27m 35.22s,"-08deg 39' 30.1""",1.121e+07 au
647,647,09h 29m 09.06s,"-02deg 46' 08.3""",3.5271e+06 au
648,648,09h 29m 14.67s,"-35deg 57' 04.7""",4.42628e+07 au
649,649,09h 30m 41.68s,"-40deg 27' 59.2""",3.82752e+06 au
650,650,09h 31m 13.22s,"-57deg 02' 03.6""",1.50339e+07 au
651,651,09h 31m 32.10s,"+63deg 03' 43.4""",4.77465e+06 au
652,652,09h 31m 43.19s,"+22deg 58' 03.7""",2.12864e+07 au
653,653,09h 31m 56.59s,"+11deg 17' 57.3""",1.50889e+07 au
654,654,09h 31m 58.91s,"-01deg 11' 04.9""",2.90105e+07 au
655,655,09h 32m 48.91s,"+51deg 40' 25.0""",2.78172e+06 au
656,656,09h 34m 13.40s,"+36deg 23' 50.6""",1.11374e+07 au
657,657,09h 34m 26.61s,"-59deg 13' 47.0""",1.25009e+08 au
658,658,09h 34m 28.55s,"+69deg 49' 51.2""",6.6774e+06 au
